                                                                 
 EXPEDIDO EN: ABARROTES KRLOS                                    
 AV. UNIVERSIDAD #200 ESCOBEDO, N.L.                             
=================================================================
                      DETALLE DE INVENTARIO                      
 NO. BOLETA: 16                                                  
 FECHA DE EMISION: 2017-feb-03      HORA: 17:31:56               
 CAJA: 045                                                       
 GENERADO POR: mcavazos                                          
-----------------------------------------------------------------
|DESCRIPCION                                      |CANT          
-----------------------------------------------------------------
 ARIZONA                                           41            
 COCA LIGHT 355ML                                  0             
 AGUA MINERAL 1.5 L                                9             
 JUMEX 450ML                                       0             
 MARLBORO DURO                                     0             
 MARLBORO                                          150           
 ENCENDEDOR                                        19            
 CERILLOS                                          0             
 CIGARRO SUELTO                                    692           
 BARAJA OROS                                       0             
 BARAJA AMERICANA                                  0             
 DOMINO PLASTICO                                   0             
 HIELERA 13                                        0             
 HIELERA MONSTER                                   0             
 HIELERA 18                                        0             
 RALEIGH                                           8             
 VICEROY 100                                       0             
 FIESTA                                            0             
 PALLMALL 14´S                                     0             
 PALLMALL                                          55            
 ZIG ZAG                                           0             
 HIELERA METALICA                                  0             
 BENSON                                            60            
 DELICADOS                                         0             
 MARLBORO 100                                      0             
 CAMEL                                             0             
 MARLBORO 14                                       67            
 DELICADOS 20                                      0             
 DELICADOS 25                                      0             
 SALSA BOT. 190ML                                  0             
 BK2 8                                             -1            
 MR CARNE S                                        0             
 TOSTADA 25                                        0             
 TOSTADA 35                                        0             
 BEBIDA NACIONAL                                   0             
 SAB FAMILIAR                                      0             
 SAB CHE TOR 28G                                   0             
 SAB COMPARTE                                      0             
 SAB DOR NACH 47G                                  0             
 SABRITAS VARIEDAD                                 90            
 SALSA EL PRIMO                                    0             
 SAB SABRITONES                                    0             
 NEW MIX PROMO                                     0             
 TKT LATA                                          2             
 KARTA BLANCA                                      90            
 DOS EQUIS LAGER                                   86            
=================================================================
                               TOTAL DE PRODUCTOS: 380           
=================================================================
                                                                 
                     ¡GRACIAS POR SU COMPRA!                     
                  ESPERAMOS SU VISITA NUEVAMENTE                 
                    NO SE ACEPTAN DEVOLUCIONES                  
                                                                 
